7	Филимонова	4 5.18 6.36 7.54 9.12 10.3 11.48 13.06 14.24 15.42 17 18.18 19.36 20.54 22.12 23.3
7	Жасминовая	5 6.18 7.36 8.54 10.12 11.3 12.48 14.06 15.24 16.42 18 19.18 20.36 21.54 23.12
7	Южная	8 9.18 10.36 11.54 13.12 14.3 15.48 17.06 18.24 19.42 21 22.18 23.36
12	Капустная	6 6.05 6.1 6.15 6.2 6.25 6.3 6.35 6.4 6.45 6.5 6.55 7 7.05 7.1 7.15 7.2 7.25 7.3 7.35 7.4 7.45 7.5 7.55 8 8.05 8.1 8.15 8.2 8.25 8.3 8.35 8.4 8.45 8.5 8.55 9 9.05 9.1 9.15 9.2 9.25 9.3 9.35 9.4 9.45 9.5 9.55 10 10.05 10.1 10.15 10.2 10.25 10.3 10.35 10.4 10.45 10.5 10.55 11 11.05 11.1 11.15 11.2 11.25 11.3 11.35 11.4 11.45 11.5 11.55 12 12.05 12.1 12.15 12.2 12.25 12.3 12.35 12.4 12.45 12.5 12.55 13 13.05 13.1 13.15 13.2 13.25 13.3 13.35 13.4 13.45 13.5 13.55 14 14.05 14.1 14.15 14.2 14.25 14.3 14.35 14.4 14.45 14.5 14.55 15 15.05 15.1 15.15 15.2 15.25 15.3 15.35 15.4 15.45 15.5 15.55 16 16.05 16.1 16.15 16.2 16.25 16.3 16.35 16.4 16.45 16.5 16.55 17 17.05 17.1 17.15 17.2 17.25 17.3 17.35 17.4 17.45 17.5 17.55 18 18.05 18.1 18.15 18.2 18.25 18.3 18.35 18.4 18.45 18.5 18.55 19 19.05 19.1 19.15 19.2 19.25 19.3 19.35 19.4 19.45 19.5 19.55 20 20.05 20.1 20.15 20.2 20.25 20.3 20.35 20.4 20.45 20.5 20.55 21 21.05 21.1 21.15 21.2 21.25 21.3 21.35 21.4 21.45 21.5 21.55 22 22.05 22.1 22.15 22.2 22.25 22.3 22.35 22.4 22.45 22.5 22.55 23 23.05 23.1 23.15 23.2 23.25 23.3 23.35 23.4 23.45 23.5 23.55
12	Белянка	6.05 6.1 6.15 6.2 6.25 6.3 6.35 6.4 6.45 6.5 6.55 7 7.05 7.1 7.15 7.2 7.25 7.3 7.35 7.4 7.45 7.5 7.55 8 8.05 8.1 8.15 8.2 8.25 8.3 8.35 8.4 8.45 8.5 8.55 9 9.05 9.1 9.15 9.2 9.25 9.3 9.35 9.4 9.45 9.5 9.55 10 10.05 10.1 10.15 10.2 10.25 10.3 10.35 10.4 10.45 10.5 10.55 11 11.05 11.1 11.15 11.2 11.25 11.3 11.35 11.4 11.45 11.5 11.55 12 12.05 12.1 12.15 12.2 12.25 12.3 12.35 12.4 12.45 12.5 12.55 13 13.05 13.1 13.15 13.2 13.25 13.3 13.35 13.4 13.45 13.5 13.55 14 14.05 14.1 14.15 14.2 14.25 14.3 14.35 14.4 14.45 14.5 14.55 15 15.05 15.1 15.15 15.2 15.25 15.3 15.35 15.4 15.45 15.5 15.55 16 16.05 16.1 16.15 16.2 16.25 16.3 16.35 16.4 16.45 16.5 16.55 17 17.05 17.1 17.15 17.2 17.25 17.3 17.35 17.4 17.45 17.5 17.55 18 18.05 18.1 18.15 18.2 18.25 18.3 18.35 18.4 18.45 18.5 18.55 19 19.05 19.1 19.15 19.2 19.25 19.3 19.35 19.4 19.45 19.5 19.55 20 20.05 20.1 20.15 20.2 20.25 20.3 20.35 20.4 20.45 20.5 20.55 21 21.05 21.1 21.15 21.2 21.25 21.3 21.35 21.4 21.45 21.5 21.55 22 22.05 22.1 22.15 22.2 22.25 22.3 22.35 22.4 22.45 22.5 22.55 23 23.05 23.1 23.15 23.2 23.25 23.3 23.35 23.4 23.45 23.5 23.55
13	Сурикова	10 10.3 11 11.3 12 12.3 13 13.3 14 14.3 15 15.3 16 16.3 17 17.3 18 18.3 19 19.3 20 20.3 21 21.3 22 22.3 23 23.3
13	Кулешова	11.15 11.45 12.15 12.45 13.15 13.45 14.15 14.45 15.15 15.45 16.15 16.45 17.15 17.45 18.15 18.45 19.15 19.45 20.15 20.45 21.15 21.45 22.15 22.45 23.15 23.45
13	Васнецова	12 12.3 13 13.3 14 14.3 15 15.3 16 16.3 17 17.3 18 18.3 19 19.3 20 20.3 21 21.3 22 22.3 23 23.3
18	Гикало	6.15 6.4 7.05 7.3 7.55 8.2 8.45 9.1 9.35 10 10.25 10.5 11.15 11.4 12.05 12.3 12.55 13.2 13.45 14.1 14.35 15 15.25 15.5 16.15 16.4 17.05 17.3 17.55 18.2 18.45 19.1 19.35 20 20.25 20.5 21.15 21.4 22.05 22.3 22.55 23.2 23.45
18	Захарова	7 7.25 7.5 8.15 8.4 9.05 9.3 9.55 10.2 10.45 11.1 11.35 12 12.25 12.5 13.15 13.4 14.05 14.3 14.55 15.2 15.45 16.1 16.35 17 17.25 17.5 18.15 18.4 19.05 19.3 19.55 20.2 20.45 21.1 21.35 22 22.25 22.5 23.15 23.4
18	Андреевская	7.3 7.55 8.2 8.45 9.1 9.35 10 10.25 10.5 11.15 11.4 12.05 12.3 12.55 13.2 13.45 14.1 14.35 15 15.25 15.5 16.15 16.4 17.05 17.3 17.55 18.2 18.45 19.1 19.35 20 20.25 20.5 21.15 21.4 22.05 22.3 22.55 23.2 23.45
26	Чижовка	4 4.35 5.1 5.45 6.2 6.55 7.3 8.05 8.4 9.15 9.5 10.25 11 11.35 12.1 12.45 13.2 13.55 14.3 15.05 15.4 16.15 16.5 17.25 18 18.35 19.1 19.45 20.2 20.55 21.3 22.05 22.4 23.15 23.5
26	Курасовщина	6.09 6.44 7.19 7.54 8.29 9.04 9.39 10.14 10.49 11.24 11.59 12.34 13.09 13.44 14.19 14.54 15.29 16.04 16.39 17.14 17.49 18.24 18.59 19.34 20.09 20.44 21.19 21.54 22.29 23.04 23.39
123	Ландера	7 9 11 13 15 17 19 21 23
123	Малиновка	7.2 9.2 11.2 13.2 15.2 17.2 19.2 21.2 23.2
153	Бельского	6 6.3 7 7.3 8 8.3 9 9.3 10 10.3 11 11.3 12 12.3 13 13.3 14 14.3 15 15.3 16 16.3 17 17.3 18 18.3 19 19.3 20 20.3 21 21.3 22 22.3 23 23.3
153	Немига	7 7.3 8 8.3 9 9.3 10 10.3 11 11.3 12 12.3 13 13.3 14 14.3 15 15.3 16 16.3 17 17.3 18 18.3 19 19.3 20 20.3 21 21.3 22 22.3 23 23.3
153	Горького	15 15.3 16 16.3 17 17.3 18 18.3 19 19.3 20 20.3 21 21.3 22 22.3 23 23.3
